timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
549878032,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
553886426,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
553935930,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
553938037,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
553994647,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554044643,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554098985,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554148881,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554197493,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554246917,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554296825,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554346081,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554396364,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554445950,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554448330,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554509629,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554558398,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554608243,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554649157,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554708452,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554757196,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554806363,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554856840,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554906028,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554954769,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
554955845,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555009211,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555068350,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555108522,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555157987,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555208097,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555257836,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555307276,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555356513,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555415104,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555462999,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555515148,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555568877,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555618594,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555658555,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555709566,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555758889,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555807201,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
555857035,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
