timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
523227918,523218495,73225,0.25840008,-0.19599001,-0.029535595,3
523251469,523242604,73225,0.25628996,-0.1985007,-0.030783584,3
523731564,523722517,73225,0.257912,-0.19884901,-0.028317805,3
524234861,524225966,73225,0.25904256,-0.20084111,-0.02912417,3
524737193,524728266,73225,0.2570202,-0.20091167,-0.029961322,3
525239242,525229810,73225,0.25463703,-0.20180213,-0.023862464,3
525741047,525732207,73225,0.25512832,-0.1981325,-0.027529161,3
526242747,526233835,73225,0.25625086,-0.2021513,-0.022213269,3
526744843,526735671,73225,0.2568824,-0.20457247,-0.031190023,3
527245896,527236899,73225,0.25784642,-0.20088165,-0.027911633,3
527724109,527715287,73225,0.25629428,-0.20052612,-0.023436448,3
528226089,528216821,73225,0.2558741,-0.19973151,-0.027930923,3
528728153,528719252,73225,0.2554884,-0.19852814,-0.030383516,3
529230315,529221476,73225,0.25132602,-0.20556937,-0.02022456,3
529732272,529723364,73225,0.25134382,-0.20313649,-0.026754688,3
530233779,530224467,73225,0.2583141,-0.20005065,-0.024232041,3
530735395,530726538,73225,0.25417754,-0.2026323,-0.026725471,3
531237052,531228233,73225,0.25136352,-0.20232412,-0.027570423,3
531738976,531729847,73225,0.25231677,-0.19822924,-0.026741367,3
532240812,532231941,73225,0.24854526,-0.21136305,-0.036995165,3
532743042,532734038,73225,0.23969063,-0.21288447,-0.032187425,3
533244932,533236056,73225,0.2450295,-0.21390824,-0.017844997,3
533746780,533737597,73225,0.24656656,-0.21183425,-0.03211665,3
534247910,534239090,73225,0.2464128,-0.2029086,-0.03782751,3
534726706,534717809,73225,0.24805132,-0.20325522,-0.033728562,3
535228485,535219161,73225,0.250391,-0.20398991,-0.038604237,3
535730123,535721275,73225,0.24905229,-0.20685375,-0.0018773613,3
536231907,536222880,73225,0.24239802,-0.20588283,-0.02684772,3
536734091,536724995,73225,0.25258386,-0.19822931,-0.0402109,3
537235509,537226643,73225,0.2394169,-0.21247992,-0.020758925,3
537737582,537728707,73225,0.24388775,-0.21475354,-0.008467462,3
538239635,538230715,73225,0.2470439,-0.20651768,-0.0027140852,3
538741728,538732407,73225,0.247608,-0.20935099,-0.016999062,3
539242790,539233776,73225,0.23023987,-0.20714661,-0.071471706,3
539745037,539736205,73225,0.24465367,-0.20500553,-0.04560364,3
540246900,540237859,73225,0.24278943,-0.20668045,-0.025211288,3
540749059,540739565,73225,0.24343994,-0.20221166,-0.055820312,3
541226445,541217512,73225,0.2444595,-0.1948685,-0.059479073,3
541728859,541719795,73225,0.24535191,-0.21346977,0.012777349,3
542230175,542221343,73225,0.24829715,-0.2076591,0.045879643,3
542732255,542723419,73225,0.24697623,-0.21949029,0.034835212,3
543234187,543225303,73225,0.24295025,-0.21276914,-0.028479885,3
543736177,543726978,73225,0.24123985,-0.19214348,-0.06889972,3
544237310,544228453,73225,0.24065451,-0.18323474,-0.07747275,3
544740074,544731248,73225,0.2415092,-0.20510897,-0.03787899,3
545241772,545232895,73225,0.23984441,-0.21975659,0.006593126,3
545744349,545734992,73225,0.24173698,-0.22132014,7.931469e-05,3
546245529,546236667,73225,0.2403146,-0.22138405,-0.021164222,3
546747604,546738735,73225,0.24240439,-0.22090136,-0.015018849,3
547225018,547216099,73225,0.24190627,-0.22008714,0.0127376495,3
547726687,547717676,73225,0.23872475,-0.22224794,-0.016282016,3
548228958,548220118,73225,0.23759513,-0.22106609,-0.01261845,3
548730902,548721648,73225,0.23772219,-0.2170012,-0.01383908,3
549232333,549223468,73225,0.24539141,-0.21592438,-0.014984961,3
549734397,549725537,73225,0.2473644,-0.21585894,-0.01904732,3
550237066,550228085,73225,0.2487729,-0.19956177,-0.014530889,3
550739184,550729651,73225,0.25694847,-0.19724481,-0.009546999,3
551240932,551232089,73225,0.2509163,-0.21044615,-0.0043103728,3
551742630,551733698,73225,0.24295208,-0.22168283,0.0021326898,3
552244832,552235837,73225,0.24841228,-0.21175429,-0.008827539,3
552745968,552737141,73225,0.24665336,-0.21587706,-0.009664822,3
553224749,553215844,73225,0.24007425,-0.21773462,-0.01748988,3
553726273,553717061,73225,0.24177489,-0.21483341,-0.01828704,3
554228102,554219274,73225,0.23844898,-0.21819699,-0.01750676,3
554730143,554721320,73225,0.24247317,-0.21805803,-0.01787392,3
555232135,555223202,73225,0.23835713,-0.22063754,-0.018325891,3
555733631,555724318,73225,0.23760222,-0.21822914,-0.021597907,3
556237169,556228299,73225,0.24207422,-0.21604568,-0.024408586,3
556741214,556732167,73225,0.23925625,-0.21776378,-0.018722985,3
